Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestAll,Chrome 66.0.3359.139,,2018-05-10 23:16:26,2018-05-10 23:16:38,12.008s,PASSED
,,,,,,
Test Cases/Test user selecte product,Chrome 66.0.3359.139,,2018-05-10 23:16:26,2018-05-10 23:16:38,11.626s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 23:16:27,2018-05-10 23:16:30,2.814s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 23:16:30,2018-05-10 23:16:36,6.169s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:16:36,2018-05-10 23:16:36,0.185s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:16:36,2018-05-10 23:16:36,0.110s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:16:36,2018-05-10 23:16:36,0.125s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:16:36,2018-05-10 23:16:37,1.112s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 23:16:37,2018-05-10 23:16:37,0.053s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 23:16:37,2018-05-10 23:16:38,0.783s,PASSED
