Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:44,2018-05-10 22:52:44,0.152s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:44,2018-05-10 22:52:44,0.128s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:44,2018-05-10 22:52:44,0.122s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:44,2018-05-10 22:52:45,1.164s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:45,2018-05-10 22:52:45,0.143s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:45,2018-05-10 22:52:45,0.114s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:45,2018-05-10 22:52:45,0.103s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:45,2018-05-10 22:52:46,0.097s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:46,2018-05-10 22:52:46,0.035s,FAILED
,,,,,,
Test Cases/Test user login,Chrome 66.0.3359.139,,2018-05-10 22:52:46,2018-05-10 22:52:57,11.142s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:46,2018-05-10 22:52:49,2.946s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:52:49,2018-05-10 22:52:54,5.234s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:54,2018-05-10 22:52:54,0.165s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:52:54,2018-05-10 22:52:54,0.188s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:54,2018-05-10 22:52:55,0.210s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:55,2018-05-10 22:52:56,1.221s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:52:56,2018-05-10 22:52:56,0.210s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:56,2018-05-10 22:52:57,0.819s,PASSED
,,,,,,
Test Cases/Test user logout,Chrome 66.0.3359.139,,2018-05-10 22:52:57,2018-05-10 22:53:07,9.866s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:52:57,2018-05-10 22:52:59,1.937s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:52:59,2018-05-10 22:53:04,5.107s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:53:04,2018-05-10 22:53:04,0.160s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:53:04,2018-05-10 22:53:04,0.127s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:04,2018-05-10 22:53:04,0.152s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:04,2018-05-10 22:53:06,1.193s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:06,2018-05-10 22:53:06,0.156s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:53:06,2018-05-10 22:53:07,0.888s,PASSED
,,,,,,
Test Cases/Test user logout,Chrome 66.0.3359.139,,2018-05-10 22:53:07,2018-05-10 22:53:17,10.139s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:53:07,2018-05-10 22:53:09,2.168s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:53:09,2018-05-10 22:53:14,5.277s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:53:14,2018-05-10 22:53:14,0.160s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:53:14,2018-05-10 22:53:14,0.144s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:14,2018-05-10 22:53:15,0.169s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:15,2018-05-10 22:53:16,1.194s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:16,2018-05-10 22:53:16,0.155s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:53:16,2018-05-10 22:53:17,0.860s,PASSED
,,,,,,
Test Cases/Test user see available product,Chrome 66.0.3359.139,,2018-05-10 22:53:17,2018-05-10 22:53:28,11.254s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:53:17,2018-05-10 22:53:19,2.102s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:53:19,2018-05-10 22:53:25,5.811s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:53:25,2018-05-10 22:53:25,0.270s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:53:25,2018-05-10 22:53:25,0.199s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:25,2018-05-10 22:53:25,0.195s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:25,2018-05-10 22:53:27,1.220s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:27,2018-05-10 22:53:27,0.146s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:27,2018-05-10 22:53:27,0.167s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:27,2018-05-10 22:53:27,0.158s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:53:27,2018-05-10 22:53:28,0.848s,PASSED
,,,,,,
Test Cases/Test user see available product,Chrome 66.0.3359.139,,2018-05-10 22:53:28,2018-05-10 22:53:45,16.642s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:53:28,2018-05-10 22:53:30,2.199s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:53:30,2018-05-10 22:53:41,10.958s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:53:41,2018-05-10 22:53:41,0.244s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:53:41,2018-05-10 22:53:42,0.141s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:42,2018-05-10 22:53:42,0.106s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:42,2018-05-10 22:53:43,1.706s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:43,2018-05-10 22:53:44,0.148s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:44,2018-05-10 22:53:44,0.153s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:44,2018-05-10 22:53:44,0.112s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:53:44,2018-05-10 22:53:45,0.861s,PASSED
,,,,,,
Test Cases/Test user selecte product,Chrome 66.0.3359.139,,2018-05-10 22:53:45,2018-05-10 22:53:55,10.162s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:53:45,2018-05-10 22:53:47,2.151s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:53:47,2018-05-10 22:53:52,5.152s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:53:52,2018-05-10 22:53:52,0.166s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:53:52,2018-05-10 22:53:52,0.120s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:52,2018-05-10 22:53:53,0.116s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:53,2018-05-10 22:53:54,1.152s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:54,2018-05-10 22:53:54,0.144s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:53:54,2018-05-10 22:53:54,0.109s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:53:54,2018-05-10 22:53:55,0.837s,PASSED
,,,,,,
Test Cases/Test wrong user and password,Chrome 66.0.3359.139,,2018-05-10 22:53:55,2018-05-10 22:54:06,11.624s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:53:55,2018-05-10 22:53:57,2.280s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:53:57,2018-05-10 22:54:04,6.289s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:54:04,2018-05-10 22:54:04,0.209s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:54:04,2018-05-10 22:54:04,0.194s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:54:04,2018-05-10 22:54:04,0.239s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:54:04,2018-05-10 22:54:05,1.212s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:54:05,2018-05-10 22:54:06,1.021s,PASSED
