Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestAll,Chrome 66.0.3359.139,,2018-05-10 22:22:18,2018-05-10 22:22:57,38.659s,PASSED
,,,,,,
Test Cases/Test user empty,Chrome 66.0.3359.139,,2018-05-10 22:22:19,2018-05-10 22:22:29,10.583s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:22:19,2018-05-10 22:22:22,2.999s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:22:22,2018-05-10 22:22:28,6.007s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:22:28,2018-05-10 22:22:28,0.258s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:22:28,2018-05-10 22:22:28,0.167s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:22:28,2018-05-10 22:22:28,0.087s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:22:28,2018-05-10 22:22:29,0.775s,PASSED
,,,,,,
Test Cases/Test user empty,Chrome 66.0.3359.139,,2018-05-10 22:22:29,2018-05-10 22:22:39,9.824s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:22:29,2018-05-10 22:22:31,2.131s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:22:31,2018-05-10 22:22:38,6.362s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:22:38,2018-05-10 22:22:38,0.144s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:22:38,2018-05-10 22:22:38,0.221s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:22:38,2018-05-10 22:22:38,0.145s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:22:38,2018-05-10 22:22:39,0.803s,PASSED
,,,,,,
Test Cases/Test password empty,Chrome 66.0.3359.139,,2018-05-10 22:22:39,2018-05-10 22:22:48,8.919s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:22:39,2018-05-10 22:22:41,2.148s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:22:41,2018-05-10 22:22:47,5.316s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:22:47,2018-05-10 22:22:47,0.152s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:22:47,2018-05-10 22:22:47,0.180s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:22:47,2018-05-10 22:22:47,0.156s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:22:47,2018-05-10 22:22:48,0.841s,PASSED
,,,,,,
Test Cases/Test password empty,Chrome 66.0.3359.139,,2018-05-10 22:22:48,2018-05-10 22:22:57,8.811s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:22:48,2018-05-10 22:22:50,2.127s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:22:50,2018-05-10 22:22:56,5.520s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:22:56,2018-05-10 22:22:56,0.201s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:22:56,2018-05-10 22:22:56,0.109s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:22:56,2018-05-10 22:22:56,0.082s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:22:56,2018-05-10 22:22:57,0.753s,PASSED
