Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestAll,Chrome 66.0.3359.139,,2018-05-10 22:10:58,2018-05-10 22:11:27,28.205s,PASSED
,,,,,,
Test Cases/Test user empty,Chrome 66.0.3359.139,,2018-05-10 22:10:59,2018-05-10 22:11:18,19.451s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:10:59,2018-05-10 22:11:02,3.017s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:11:02,2018-05-10 22:11:17,14.915s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:11:17,2018-05-10 22:11:17,0.208s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:11:17,2018-05-10 22:11:17,0.118s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:11:17,2018-05-10 22:11:17,0.095s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:11:17,2018-05-10 22:11:18,0.807s,PASSED
,,,,,,
Test Cases/Test user empty,Chrome 66.0.3359.139,,2018-05-10 22:11:18,2018-05-10 22:11:27,8.363s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 22:11:18,2018-05-10 22:11:20,2.011s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 22:11:20,2018-05-10 22:11:25,5.225s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 22:11:25,2018-05-10 22:11:26,0.145s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:11:26,2018-05-10 22:11:26,0.122s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 22:11:26,2018-05-10 22:11:26,0.091s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 22:11:26,2018-05-10 22:11:27,0.756s,PASSED
