Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestAll,Chrome 66.0.3359.139,,2018-05-10 23:07:34,2018-05-10 23:09:54,2m - 20.295s,FAILED
,,,,,,
Test Cases/Test user empty,Chrome 66.0.3359.139,,2018-05-10 23:07:34,2018-05-10 23:07:45,11.472s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 23:07:34,2018-05-10 23:07:37,2.938s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 23:07:37,2018-05-10 23:07:44,7.059s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:07:44,2018-05-10 23:07:44,0.187s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:07:44,2018-05-10 23:07:45,0.129s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:07:45,2018-05-10 23:07:45,0.086s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 23:07:45,2018-05-10 23:07:45,0.770s,PASSED
,,,,,,
Test Cases/Test user empty,Chrome 66.0.3359.139,,2018-05-10 23:07:45,2018-05-10 23:07:53,7.762s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 23:07:45,2018-05-10 23:07:47,1.949s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 23:07:47,2018-05-10 23:07:52,4.719s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:07:52,2018-05-10 23:07:52,0.140s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:07:52,2018-05-10 23:07:52,0.125s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:07:52,2018-05-10 23:07:52,0.076s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 23:07:52,2018-05-10 23:07:53,0.741s,PASSED
,,,,,,
Test Cases/Test password empty,Chrome 66.0.3359.139,,2018-05-10 23:07:53,2018-05-10 23:08:02,8.773s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 23:07:53,2018-05-10 23:07:55,1.929s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 23:07:55,2018-05-10 23:08:01,5.523s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:08:01,2018-05-10 23:08:01,0.209s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:01,2018-05-10 23:08:01,0.139s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:01,2018-05-10 23:08:01,0.085s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 23:08:01,2018-05-10 23:08:02,0.765s,PASSED
,,,,,,
Test Cases/Test password empty,Chrome 66.0.3359.139,,2018-05-10 23:08:02,2018-05-10 23:08:10,7.709s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 23:08:02,2018-05-10 23:08:04,1.956s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 23:08:04,2018-05-10 23:08:09,4.673s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:08:09,2018-05-10 23:08:09,0.143s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:09,2018-05-10 23:08:09,0.096s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:09,2018-05-10 23:08:09,0.086s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 23:08:09,2018-05-10 23:08:10,0.745s,PASSED
,,,,,,
Test Cases/Test admin check total transaction,Chrome 66.0.3359.139,,2018-05-10 23:08:10,2018-05-10 23:08:22,11.920s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 23:08:10,2018-05-10 23:08:12,1.924s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 23:08:12,2018-05-10 23:08:18,6.671s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:08:18,2018-05-10 23:08:19,0.164s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:08:19,2018-05-10 23:08:19,0.141s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:19,2018-05-10 23:08:19,0.098s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:19,2018-05-10 23:08:20,1.135s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:20,2018-05-10 23:08:20,0.577s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:20,2018-05-10 23:08:21,0.067s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:21,2018-05-10 23:08:21,0.067s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:21,2018-05-10 23:08:21,0.073s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:21,2018-05-10 23:08:21,0.063s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:21,2018-05-10 23:08:21,0.060s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 23:08:21,2018-05-10 23:08:22,0.762s,PASSED
,,,,,,
Test Cases/Test admin login,Chrome 66.0.3359.139,,2018-05-10 23:08:22,2018-05-10 23:08:31,9.654s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 23:08:22,2018-05-10 23:08:24,1.937s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 23:08:24,2018-05-10 23:08:29,5.335s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:08:29,2018-05-10 23:08:29,0.148s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:08:29,2018-05-10 23:08:29,0.112s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:29,2018-05-10 23:08:29,0.095s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 23:08:29,2018-05-10 23:08:30,1.084s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 23:08:30,2018-05-10 23:08:30,0.041s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 23:08:30,2018-05-10 23:08:31,0.777s,PASSED
,,,,,,
Test Cases/Test user change amount-edited,Chrome 66.0.3359.139,,2018-05-10 23:08:31,2018-05-10 23:08:41,9.737s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 23:08:31,2018-05-10 23:08:33,1.923s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 23:08:33,2018-05-10 23:08:38,4.465s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:08:38,2018-05-10 23:08:38,0.136s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:08:38,2018-05-10 23:08:38,0.117s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:38,2018-05-10 23:08:38,0.115s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:38,2018-05-10 23:08:39,1.116s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:39,2018-05-10 23:08:39,0.088s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:08:39,2018-05-10 23:08:39,0.109s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:39,2018-05-10 23:08:40,0.075s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:40,2018-05-10 23:08:40,0.085s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-10 23:08:40,2018-05-10 23:08:40,0.018s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:40,2018-05-10 23:08:40,0.592s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 23:08:40,2018-05-10 23:08:41,0.767s,PASSED
,,,,,,
Test Cases/Test user login,Chrome 66.0.3359.139,,2018-05-10 23:08:41,2018-05-10 23:08:51,9.878s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 23:08:41,2018-05-10 23:08:43,1.932s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 23:08:43,2018-05-10 23:08:49,5.500s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:08:49,2018-05-10 23:08:49,0.136s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:08:49,2018-05-10 23:08:49,0.114s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:49,2018-05-10 23:08:49,0.104s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:49,2018-05-10 23:08:50,1.108s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:50,2018-05-10 23:08:50,0.095s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 23:08:50,2018-05-10 23:08:51,0.781s,PASSED
,,,,,,
Test Cases/Test user logout,Chrome 66.0.3359.139,,2018-05-10 23:08:51,2018-05-10 23:09:01,10.082s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 23:08:51,2018-05-10 23:08:53,1.936s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 23:08:53,2018-05-10 23:08:59,5.691s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:08:59,2018-05-10 23:08:59,0.146s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:08:59,2018-05-10 23:08:59,0.112s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:59,2018-05-10 23:08:59,0.094s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:08:59,2018-05-10 23:09:00,1.116s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:09:00,2018-05-10 23:09:00,0.061s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 23:09:00,2018-05-10 23:09:01,0.814s,PASSED
,,,,,,
Test Cases/Test user logout,Chrome 66.0.3359.139,,2018-05-10 23:09:01,2018-05-10 23:09:10,8.925s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 23:09:01,2018-05-10 23:09:03,1.924s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 23:09:03,2018-05-10 23:09:08,4.648s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:09:08,2018-05-10 23:09:08,0.150s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:09:08,2018-05-10 23:09:08,0.116s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:09:08,2018-05-10 23:09:08,0.130s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:09:08,2018-05-10 23:09:09,1.119s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:09:09,2018-05-10 23:09:09,0.066s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-10 23:09:09,2018-05-10 23:09:10,0.765s,PASSED
,,,,,,
