Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestAll,Chrome 66.0.3359.139,,2018-05-10 23:11:52,2018-05-10 23:12:03,10.938s,FAILED
,,,,,,
Test Cases/Test user selecte product,Chrome 66.0.3359.139,,2018-05-10 23:11:53,2018-05-10 23:12:02,9.755s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 23:11:53,2018-05-10 23:11:56,2.863s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 23:11:56,2018-05-10 23:12:00,4.475s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:12:00,2018-05-10 23:12:00,0.193s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:12:00,2018-05-10 23:12:01,0.112s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:12:01,2018-05-10 23:12:01,0.131s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:12:01,2018-05-10 23:12:02,1.122s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 23:12:02,2018-05-10 23:12:02,0.565s,FAILED
