Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestAll,Chrome 66.0.3359.139,,2018-05-10 23:14:40,2018-05-10 23:14:51,10.889s,FAILED
,,,,,,
Test Cases/Test user selecte product,Chrome 66.0.3359.139,,2018-05-10 23:14:40,2018-05-10 23:14:50,9.720s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-10 23:14:41,2018-05-10 23:14:44,2.822s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-10 23:14:44,2018-05-10 23:14:48,4.494s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:14:48,2018-05-10 23:14:48,0.201s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-10 23:14:48,2018-05-10 23:14:48,0.110s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:14:48,2018-05-10 23:14:48,0.125s,PASSED
click,Chrome 66.0.3359.139,,2018-05-10 23:14:48,2018-05-10 23:14:50,1.120s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-10 23:14:50,2018-05-10 23:14:50,0.552s,FAILED
